,neighbourhood,latitude,longitude,room_type,price
0,Nrrebro,55.68798,12.54571,Private room,373
1,Indre By,55.69163,12.57459,Entire home/apt,2397
2,Indre By,55.6759,12.57698,Entire home/apt,3103
3,Vesterbro-Kongens Enghave,55.67069,12.5543,Entire home/apt,801
4,sterbro,55.69375,12.56945,Entire home/apt,862
5,Vesterbro-Kongens Enghave,55.66744,12.55516,Entire home/apt,747
6,Vesterbro-Kongens Enghave,55.67296999999999,12.55327,Entire home/apt,1086
7,sterbro,55.71158000000001,12.56879,Entire home/apt,591
8,Indre By,55.68572,12.56749,Entire home/apt,1786
9,Frederiksberg,55.67628000000001,12.53801,Entire home/apt,747
10,Indre By,55.68946,12.57088,Private room,353
11,Vesterbro-Kongens Enghave,55.66861,12.5521,Entire home/apt,679
12,Nrrebro,55.68363000000001,12.55572,Entire home/apt,577
13,Vesterbro-Kongens Enghave,55.66781999999999,12.54843,Entire home/apt,917
14,Nrrebro,55.70491,12.55331,Private room,448
15,Frederiksberg,55.67939000000001,12.55055,Entire home/apt,1215
16,Vesterbro-Kongens Enghave,55.66863000000001,12.55255,Entire home/apt,652
17,Indre By,55.6839,12.56727,Entire home/apt,1236
18,Nrrebro,55.69866,12.538,Entire home/apt,801
19,sterbro,55.70568000000001,12.58685,Entire home/apt,951
20,Frederiksberg,55.68068,12.54581,Entire home/apt,1494
21,Frederiksberg,55.67757,12.55608,Entire home/apt,1501
22,Indre By,55.68409000000001,12.5629,Entire home/apt,1840
23,Nrrebro,55.69132,12.5575,Entire home/apt,1949
24,Indre By,55.688930000000006,12.56633,Entire home/apt,1344
25,Vesterbro-Kongens Enghave,55.67059,12.55468,Entire home/apt,822
26,Nrrebro,55.69378,12.54204,Entire home/apt,747
27,Vesterbro-Kongens Enghave,55.66476,12.54449,Private room,502
28,Indre By,55.67328000000001,12.59116,Entire home/apt,1711
29,Bispebjerg,55.69973,12.5367,Entire home/apt,448
30,Amager st,55.66252,12.61507,Entire home/apt,502
31,Frederiksberg,55.68765,12.53291,Entire home/apt,550
32,Vesterbro-Kongens Enghave,55.66723,12.54547,Entire home/apt,319
33,Nrrebro,55.69003000000001,12.54109,Entire home/apt,883
34,Vesterbro-Kongens Enghave,55.66395,12.54902,Entire home/apt,998
35,Nrrebro,55.69842,12.5506,Entire home/apt,577
36,Indre By,55.68068,12.56572,Entire home/apt,598
37,Vesterbro-Kongens Enghave,55.67003,12.54896,Entire home/apt,713
38,Vesterbro-Kongens Enghave,55.66479,12.5453,Private room,448
39,Vesterbro-Kongens Enghave,55.66933,12.54838,Private room,998
40,Nrrebro,55.70001,12.54819,Entire home/apt,1195
41,Indre By,55.67055,12.59397,Entire home/apt,1501
42,Amager st,55.65651999999999,12.61037,Entire home/apt,801
43,Vesterbro-Kongens Enghave,55.67023,12.54808,Private room,469
44,Indre By,55.68377,12.56302,Entire home/apt,998
45,Nrrebro,55.69031999999999,12.56167,Entire home/apt,1833
46,Indre By,55.6821,12.59445,Entire home/apt,1249
47,Nrrebro,55.69044,12.56129,Entire home/apt,1501
48,Vesterbro-Kongens Enghave,55.66886,12.55591,Entire home/apt,978
49,Nrrebro,55.69218000000001,12.5675,Entire home/apt,679
50,Nrrebro,55.68955,12.56124,Entire home/apt,740
51,Indre By,55.680580000000006,12.57477,Entire home/apt,951
52,Frederiksberg,55.67549,12.55265,Entire home/apt,862
53,Nrrebro,55.6974,12.54019,Entire home/apt,652
54,Nrrebro,55.70635,12.55665,Private room,387
55,Amager Vest,55.66271999999999,12.59515,Private room,441
56,Nrrebro,55.69033,12.56241,Entire home/apt,1195
57,Valby,55.66433000000001,12.4864,Entire home/apt,794
58,Vesterbro-Kongens Enghave,55.6672,12.557,Entire home/apt,672
59,Valby,55.65701,12.48066,Entire home/apt,747
60,Vesterbro-Kongens Enghave,55.64608000000001,12.52721,Private room,251
